aes,wmo,id,name,instr,prov,lon,lat,elev,tz_correct,h_bul,s_bul,hly,syn,tmm,ua,useindex,agency,the_geom
1011,1011,CCCC,SUMMIT,   SFC,BC,-124.647,48.928,680,-8,none,none,-,-,-,-,1011, MoFPB,01010000208A0F0000F423DFA877F83FC13BCB060EADDD1D41
1012475,71031,CWDR,                                  DISCOVERY+ISLAND,   AU8,BC,-123.233,48.417,19,-8,swobml/cwdr,smcn20/cwao,H,H,@,-,31,MSC   ,01010000208A0F00004EB214D240EC3EC18733BEBA27F31741
1012710,71798,CWPF,                                 ESQUIMALT+HARBOUR,   AU8,BC,-123.433,48.433,3,-8,swobml/cwpf,xxxxxx/xxxx,H,H,@,-,798,MSC   ,01010000208A0F0000E18C0C798C1D3FC1964DA5CF2C701841
1013998,719143,CWZO,                                        KELP+REEFS,   AU8,BC,-123.233,48.55,-99,-8,swobml/cwzo,xxxxxx/xxxx,H,H,@,-,9143,MSC   ,01010000208A0F00006CD6D0AD64D33EC157C9FAEE45C41841
1014820,71774,CWKH,                                           MALAHAT,   AU8,BC,-123.533,48.567,366,-8,swobml/cwkh,smcn37/cwao,H,H,@,-,774,MSC   ,01010000208A0F00001151AF865E1E3FC1917B52648D741941
1015630,71927,CVOO,                                    NORTH+COWICHAN,   AU8,BC,-123.717,48.817,45,-8,swobml/cvoo,smcn29/cwao,H,H,@,-,927,MSC   ,01010000208A0F0000FE345AF7C61E3FC11838D37358581B41
1016640,71778,CWQK,                                        RACE+ROCKS,   AU8,BC,-123.533,48.3,7,-8,swobml/cwqk,smcn37/cwao,H,H,@,-,778,MSC   ,01010000208A0F00006E387BB6C7503FC156FE61269CD11741
1017099,71914,CVTS,                                 SATURNA+CAPMON+CS,   AU8,BC,-123.133,48.783,178,-8,swobml/cvts,smcn29/cwao,H,H,@,-,914,MSC   ,01010000208A0F00001E153C56EA8D3EC110181EDE18011A41
1017101,71473,CWEZ,                                 SATURNA+ISLAND+CS,   AU8,BC,-123.05,48.783,24,-8,swobml/cwez,smcn34/cwao,G,H,@,-,473,MSC   ,01010000208A0F0000717CD1555B783EC1FEBBDB7153D81941
1017254,71780,CWSP,                                  SHERINGHAM+POINT,   AU8,BC,-123.917,48.383,7,-8,swobml/cwsp,smcn37/cwao,H,H,@,-,780,MSC   ,01010000208A0F0000ECB3D1BD50A53FC119E1F6A450161941
1018598,71783,CWYJ,                            VICTORIA+UNIVERSITY+CS,   AU8,BC,-123.3,48.45,60,-8,swobml/cwyj,smcn37/cwao,H,H,@,-,783,MSC   ,01010000208A0F000008F4A9009AF73EC165AA1FC16A481841
1018611,71200,CWLM,                              VICTORIA+GONZALES+CS,   AU8,BC,-123.317,48.417,61,-8,swobml/cwlm,smcn02/cwao,H,H,@,-,200,MSC   ,01010000208A0F00001F91BB463B023FC19FD6E9EA071D1841
1018619,719159,CYWH,                                VICTORIA+HARBOUR+A,   FSS,BC,-123.383,48.417,-99,-8,sacn62/cywh,xxxxxx/xxxx,D,-,-,-,9159,MSC   ,01010000208A0F000039AFB5937D133FC1180F8BC4033E1841
1018621,71799,CYYJ,                                   VICTORIA+INTL+A,   NCH,BC,-123.433,48.65,20,-8,sacn62/cyyj,smcn05/cwao,H,H,@,-,799,MSC   ,01010000208A0F00009D8DF691BAF43EC102E3D0D0C7C41941
1019,1019,CCCC,MENZIES CAMP,   SFC,BC,-125.789,50.049,438,-8,none,none,-,-,-,-,1019, MoFPB,01010000208A0F0000FFDCB66D801C40C1FC8828DD7E762341
1020590,71769,CWGB,                                   BALLENAS+ISLAND,   AU8,BC,-124.167,49.35,15,-8,swobml/cwgb,smcn37/cwao,G,H,-,-,769,MSC   ,01010000208A0F000096C06A1B5B2C3FC13983061FAD791F41
1021,1021,CCCC,WOSS CAMP,   SFC,BC,-126.607,50.213,156,-8,none,none,-,-,-,-,1021, MoFPB,01010000208A0F0000EADB54FE207040C1430CCF3401CA2441
1021267,719142,CYBL,                                  CAMPBELL+RIVER+A,   FSS,BC,-125.267,49.95,109,-8,sacn62/cybl,xxxxxx/xxxx,G,-,@,-,9142,MSC   ,01010000208A0F0000CED856D499CB3FC1873BE772F9A32241
1021830,71893,CYQQ,                                           COMOX+A,   WOD,BC,-124.9,49.717,26,-8,sacn31/cwao,smcn08/cwao,X,X,@,-,893,MSC   ,01010000208A0F0000DA4DFF4D0B9E3FC1A2DEA37FA2922141
1022689,71772,CWEL,                                   ENTRANCE+ISLAND,   AU8,BC,-123.817,49.217,8,-8,swobml/cwel,smcn37/cwao,G,H,-,-,772,MSC   ,01010000208A0F0000406B9B418BEC3EC1FF4F5AB16DFB1D41
1022795,71568,CXFA,                                      FANNY+ISLAND,   AU8,BC,-126,50.45,5,-8,swobml/cxfa,smcn35/cwao,H,-,-,-,568,MSC   ,01010000208A0F00003BD26CA1E40D40C1746D9755DDDF2441
1025369,711526,CYCD,                                         NANAIMO+A,   FSS,BC,-123.867,49.05,28,-8,sacn62/cycd,xxxxxx/xxxx,G,-,@,-,1526,MSC   ,01010000208A0F00000D61086A1D193FC1331DCF2CA80F1D41
1026271,71109,CYZT,                                      PORT+HARDY+A,   FSS,BC,-127.367,50.683,22,-8,sacn62/cyzt,smcn01/cwao,H,H,-,-,109,MSC   ,01010000208A0F00009D093CC60F9B40C1026D17B320F82641
1026278,71109,CYZT,                                     PORT+HARDY+UA,CON:UA,BC,-127.383,50.683,17,-8,xxxxxx/xxxx,uscn01/cyzt,-,-,-,@,109,MSC   ,01010000208A0F00006C141C73FA9C40C19B73FDF467FC2641
