fire_id,time_1,time_2,status,size,ffmc,dmc,dc,bui,isi,fwi,dsr,latitude,longitude,fire_type,response_time,size_class,fuel_type_grouped,cause
1,0.0,1.2666666666666666,0,0.2,50.5,6.9,13.6,6.8,0.2,0.1,0.0,51.156517,-114.861267,Surface,1.0,B,Other,People
1,1.2666666666666666,18.566666666666666,1,0.2,72.5,8.3,15.9,8.1,0.9,0.5,0.0,51.156517,-114.861267,Surface,1.0,B,Other,People
2,0.0,0.95,1,0.1,92.9,13.6,22.8,13.4,15.0,15.9,3.6,51.1632,-114.903617,Surface,0.05,A,Grass,People
3,0.0,1.1666666666666667,1,0.01,89.9,28.9,122.2,36.3,7.4,15.1,3.3,49.597783,-114.4384,Ground,0.6,A,Other,People
4.0,0.0,1.2166666666666666,0,0.1,91.8,24.0,38.2,23.8,8.8,13.9,2.9,51.15705,-114.863867,Surface,0.25,A,Other,People
4.0,1.2166666666666666,17.05,0,0.1,20.8,11.8,24.3,11.7,0.0,0.0,0.0,51.15705,-114.863867,Surface,0.25,A,Other,People
4.0,17.05,41.05,0,0.1,29.2,9.0,24.9,9.5,0.0,0.0,0.0,51.15705,-114.863867,Surface,0.25,A,Other,People
4.0,41.05,65.05,0,0.1,37.0,5.7,21.2,6.8,0.0,0.0,0.0,51.15705,-114.863867,Surface,0.25,A,Other,People
4.0,65.05,89.05,0,0.1,61.0,6.8,24.9,8.1,0.6,0.3,0.0,51.15705,-114.863867,Surface,0.25,A,Other,People
4.0,89.05,113.05,0,0.1,82.3,9.1,29.6,10.3,3.1,3.3,0.2,51.15705,-114.863867,Surface,0.25,A,Other,People
4.0,113.05,138.55,1,0.1,89.7,12.2,35.2,13.1,9.5,11.0,1.9,51.15705,-114.863867,Surface,0.25,A,Other,People
5,0.0,0.23333333333333334,1,0.01,90.9,31.4,76.9,31.4,6.5,12.6,2.4,51.139444,-114.9025,Surface,0.05,A,Grass,People
6,0.0,0.5833333333333334,0,0.2,92.5,35.6,83.4,35.5,7.3,14.8,3.2,51.167917,-114.822067,Surface,0.25,B,Grass,People
6,0.5833333333333334,13.416666666666666,1,0.2,92.9,40.0,90.2,40.0,15.0,26.4,8.9,51.167917,-114.822067,Surface,0.25,B,Grass,People
7,0.0,0.6166666666666667,1,0.01,92.5,35.6,83.4,35.5,7.3,14.8,3.2,51.178735,-114.922167,Surface,0.25,A,Grass,People
8,0.0,0.48333333333333334,0,0.01,92.5,35.6,83.4,35.5,7.3,14.8,3.2,51.1598,-114.975067,Surface,0.48333333333333334,A,Grass,People
8,0.48333333333333334,12.333333333333334,1,0.01,92.9,40.0,90.2,40.0,15.0,26.4,8.9,51.1598,-114.975067,Surface,0.48333333333333334,A,Grass,People
9,0.0,0.08333333333333333,1,0.01,92.1,62.3,336.6,85.2,7.1,22.9,6.9,50.24184,-114.34642,Surface,0.0,A,Other,People
17,0.0,0.6666666666666666,1,0.01,88.0,54.7,183.3,62.6,5.1,15.3,3.4,49.714955,-114.607033,Surface,0.5166666666666667,A,Other,People
18,0.0,0.4166666666666667,1,0.01,88.0,54.7,183.3,62.6,5.1,15.3,3.4,49.714955,-114.607033,Ground,0.3333333333333333,A,Other,People
19,0.0,0.8,1,0.01,86.7,54.3,116.0,54.1,3.9,11.3,2.0,51.14785,-114.982967,Surface,0.5166666666666667,A,Other,People
20,0.0,0.16666666666666666,1,0.01,86.7,54.3,116.0,54.1,3.9,11.3,2.0,51.3763,-115.001983,Surface,0.0,A,Other,People
22,0.0,1.3166666666666667,1,0.01,83.4,53.6,121.7,53.5,3.6,10.5,1.8,50.905068,-114.944917,Surface,0.75,A,Other,People
24,0.0,0.18333333333333332,1,0.01,88.2,56.8,127.8,56.7,4.4,12.9,2.5,51.399167,-115.02415,Surface,0.03333333333333334,A,Other,People
